RunId,iteration,Step,map_file_name,Non Biased Agents,Loss Aversion Agents,Overconfidence Agents,Bandwagon Effect Agents,Total Number of Agents,Active Agents,Average LA coefficient,Average OC coefficient,Average BW coefficient,Generations NBA,Generations LA,Generations OC,Generations BW,NBA Last Alive in Step,LA Last Alive in Step,OC Last Alive in Step,BW Last Alive in Step,NBA Average Energy,LA Average Energy,OC Average Energy,BW Average Energy
0,0,1000,map_testing2.txt,0,0,68,0,644,68,0.0,0.8245022153113731,0.0,0,5,11,2,184,718,1000,380,0.0,0.0,60.8235294117647,0.0
1,1,1000,map_testing2.txt,0,18,60,0,687,78,1.958246201266532,0.7357955514650667,0.0,0,7,11,0,138,1000,1000,200,0.0,41.77777777777778,53.35,0.0
2,2,1000,map_testing2.txt,0,43,26,0,695,69,2.0048550756607173,0.6406626101541326,0.0,0,9,8,0,121,1000,1000,200,0.0,50.18604651162791,50.15384615384615,0.0
3,3,1000,map_testing2.txt,0,49,15,0,608,64,2.2358043159645242,0.6810484791157119,0.0,0,8,9,0,134,1000,1000,200,0.0,55.0,67.13333333333334,0.0
4,4,1000,map_testing2.txt,0,52,20,0,698,72,1.9363135061544319,0.46417113910615965,0.0,0,8,10,0,144,1000,1000,200,0.0,52.51923076923077,56.95,0.0
5,5,1000,map_testing2.txt,0,0,48,0,639,48,0.0,0.5642793061607139,0.0,0,6,10,0,189,888,1000,169,0.0,0.0,53.395833333333336,0.0
6,6,1000,map_testing2.txt,0,23,46,0,725,69,1.7305995391389415,0.7860862022019101,0.0,0,10,9,1,148,1000,1000,282,0.0,45.34782608695652,57.04347826086956,0.0
7,7,1000,map_testing2.txt,0,14,59,0,676,73,2.2325622706270756,0.5846736573317549,0.0,0,8,9,0,200,1000,1000,200,0.0,41.285714285714285,55.83050847457627,0.0
8,8,1000,map_testing2.txt,0,15,44,0,609,59,2.1085727457678054,0.6300625124091715,0.0,0,8,10,0,153,1000,1000,200,0.0,48.333333333333336,66.47727272727273,0.0
9,9,1000,map_testing2.txt,0,21,37,0,663,58,1.9653916602804136,0.4040748072532453,0.0,0,8,10,0,165,1000,1000,200,0.0,41.904761904761905,55.567567567567565,0.0
10,10,1000,map_testing2.txt,0,13,51,0,688,64,2.0026879109967863,0.6050276181427194,0.0,0,8,9,0,119,1000,1000,200,0.0,62.84615384615385,54.98039215686274,0.0
11,11,1000,map_testing2.txt,0,9,57,0,628,66,1.8162238821197338,0.587063712918694,0.0,0,8,10,0,136,1000,1000,200,0.0,60.333333333333336,68.0,0.0
12,12,1000,map_testing2.txt,0,5,56,0,653,61,2.2404730041095986,0.6890581932912682,0.0,0,9,10,0,169,1000,1000,200,0.0,56.6,49.089285714285715,0.0
13,13,1000,map_testing2.txt,0,37,21,0,649,58,2.197118680866224,0.9664419198313131,0.0,0,9,8,0,119,1000,1000,200,0.0,54.486486486486484,50.333333333333336,0.0
14,14,1000,map_testing2.txt,0,29,37,0,665,66,1.9121686259241495,0.6610839617748554,0.0,1,8,9,0,200,1000,1000,200,0.0,50.793103448275865,48.78378378378378,0.0
15,15,1000,map_testing2.txt,0,23,38,0,648,61,2.188673182199777,0.6204760134731813,0.0,0,9,10,0,166,1000,1000,200,0.0,53.65217391304348,72.36842105263158,0.0
16,16,1000,map_testing2.txt,0,23,49,0,640,72,1.8807341263167157,0.5775408431496429,0.0,0,8,10,0,200,1000,1000,200,0.0,58.34782608695652,58.46938775510204,0.0
17,17,1000,map_testing2.txt,0,0,54,0,630,54,0.0,0.743511342103281,0.0,0,6,12,0,149,986,1000,200,0.0,0.0,56.111111111111114,0.0
18,18,1000,map_testing2.txt,0,0,75,0,628,75,0.0,0.8625384365844161,0.0,0,2,9,0,118,491,1000,200,0.0,0.0,52.28,0.0
19,19,1000,map_testing2.txt,0,0,58,0,622,58,0.0,0.9659213531097257,0.0,0,6,10,0,200,895,1000,200,0.0,0.0,60.06896551724138,0.0
